NO,NAME,YEAR,ZONE,LETTER,TYPE_SUM,WRITER,NAME2,STATUS,UPDATE_TIME,NEW_PAGE,DOCUMENT,PICTURE,URL,NUM
1,BASTARD！！暗黑之破坏神,2000年,,B,,,,,2015-09-16,第27卷,200＊年，地球上的科学家在灵子能源方面取得重大突破(以人的生命作为能源供各类机械使用)。科技在此基础上突飞猛进。人们生活在不断提高，但在繁荣的背后却存在着足以毁灭世界的隐患。有10位固执的科学家，在使用灵子能量的基础上更近一步。,https://cf.hamreus.com/cpic/h/64.jpg,http://www.manhuagui.com/comic/64/,64
2,猎人,2005年,,L,,,,,2018-11-24,第390话 冲突①,日本漫画大师富坚义博继《幽游白书》后的又一部超重量级力作，在《全职猎人HUNTER×HUNTER》的世界里猎人是个很受人尊敬的职业，亦引得无数人来参加猎人的测试，GON在众考生中脱颍而出通过了猎人种种艰难的测试，终于如愿以偿成为一名猎人，但这样就结束了吗？不，真正的试炼才刚刚开始，想知道以后吗？,https://cf.hamreus.com/cpic/h/1759.jpg,http://www.manhuagui.com/comic/1759/,1759
3,一拳超人,2009年,,Y,,,,,2019-01-27,第144话,主人公埼玉原本是一名整日奔波于求职的普通人。3年前的一天偶然遇到了要对淘气少年下杀手的异变螃蟹人后，回忆起年少年时“想要成为英雄”的梦想，最终拼尽全力救下了淘气少年。之后通过拼命锻炼，埼玉终于脱胎换骨获得了最强的力量，但同时失去了头发成了光头。在独自做了一段时间英雄后，正式加入英雄协会，与众多英雄一起开始了对抗各种怪人以及恶势力的生活??????,https://cf.hamreus.com/cpic/h/7580.jpg,http://www.manhuagui.com/comic/7580/,7580
4,异世界魔王与召唤少女的奴隶魔术,2015年,,Y,,,,,2019-01-25,第75话,坂本拓真，MMORPG『CrossReverie』之中被其他玩家视为『魔王』的人物。有一天，他竟然以游戏中的身分被召唤至异世界，遇到了两个坚称自己才是『召唤主』的少女。两名少女对拓真施展驯服召唤兽的奴隶法术，却因此启动了拓真的特殊能力『魔术反射』，变成奴隶的人反而是两名少女！,https://cf.hamreus.com/cpic/h/17596_35.jpg,http://www.manhuagui.com/comic/17596/,17596
5,哥布林杀手：崭新的日子,2018年,,G,,,,,2019-01-29,第6.5话,哥布林杀手外传，新手战士和见习圣女的故事。,https://cf.hamreus.com/cpic/h/28711.jpg,http://www.manhuagui.com/comic/28711/,28711
6,哥布林杀手外传：第一年,2017年,,G,,,,,2019-01-18,第18话,哥布林杀手的前传漫画，讲述的主人公目睹姐姐被杀后，成为哥布林杀手之前的故事。,https://cf.hamreus.com/cpic/h/25388.jpg,https://www.manhuagui.com/comic/25388/,25388
7,猫魔人,2006年,,M,,,,,2016-03-01,第01卷,猫魔人遇上两个迷途的坏蛋，後来好心带他们回到自己的家，中途看到一颗石头还特别警告千万不能碰，之後替他们把机车加满油稍作休息之後，两位坏蛋便离开了，不过他们不信邪，硬是动了那颗石头，结果竟然跑出一个恶魔……。,https://cf.hamreus.com/cpic/h/2070.jpg,http://www.manhuagui.com/comic/2070/,2070
8,关于我转生后成为史莱姆的那件事,2015年,,G,,,,,2019-03-07,现场录音,本以为自己被人用刀刺死了，没想到却在异世界转生成史莱姆？以能够夺取对手能力的「捕食者」与精通世界真理的「大贤者」这两样独有技为武器，史莱姆的大冒险即将展开！,https://cf.hamreus.com/cpic/h/17023_24.jpg,http://www.manhuagui.com/comic/17023/,17023
9,JOJO的奇妙冒险JOJOLion,2012年,,J,,,,,2019-02-02,第83话 收获倒计时,３月11日大地震的当天深夜，日本Ｓ市杜王町突然无预警地出现一道长达10公里的隆起──这个隆起日後被人称为「壁之眼」。有一天，平凡的高中女生广濑康穗在壁之眼与恋人岬的附近，发现了一名全身赤裸的奇特少年。,https://cf.hamreus.com/cpic/h/1420_46.jpg,http://www.manhuagui.com/comic/1420/,1420
10,宇宙兄弟,2009年,,Y,,,,,2013-10-28,第34卷,年少时代，哥哥六太与弟弟日日人眺望着星空，立下了誓约。２０２５年，弟弟达成誓言，当上了太空人，成为第一次长期居留月球的太空人组员之一。而哥哥六太却被公司给开除，成了无业游民。直到弟弟寄来一封电子邮件，才让哥哥重新面对梦想，朝目标迈进。,https://cf.hamreus.com/cpic/h/4118.jpg,http://www.manhuagui.com/comic/4118/,4118
11,无邪气乐园,2014年,,W,,,,,2018-10-08,全彩版01,反田省太是个失意的兼职程式设计师，已经25岁的他一事无成、过着浑浑噩噩的日子。眼看同学们个个前途光明，令他不禁自惭形秽。沮丧的省太在同学会后，不慎失足掉入泳池，结果竟然时光倒流、带着25岁的心智回到10岁的过去回到了10岁的时候！原本在他印象里成熟妩媚的女同学们，现在全都变回了小学5年级的小女生。,https://cf.hamreus.com/cpic/h/19534.jpg,https://www.manhuagui.com/comic/19534/,19534
